TIME,TollNow Point,Referenz Point,Abstand beider Punkte
2022-12-28T08:43:45,"(52.527406462629806, 13.367676500620528)","(52.5273944206667, 13.3676706133333)",1.3969819386452327
2022-12-28T08:43:47,"(52.52717722329212, 13.36763603210336)","(52.5271636863333, 13.3676442406667)",1.604406566994132
2022-12-28T08:43:49,"(52.52694102972914, 13.367608544779374)","(52.5269272826667, 13.3676219981667)",1.7790311718195129
2022-12-28T08:43:51,"(52.526694017854254, 13.367580225101548)","(52.5266832678333, 13.3675998545)",1.7866909119657197
2022-12-28T08:43:52,"(52.52656456716703, 13.3675668848309)","(52.5265585435, 13.3675949316667)",2.0121335813136283
2022-12-28T08:43:53,"(52.52643652579919, 13.3675569520897)","(52.5264318071667, 13.36758456)",1.9399915702650883
2022-12-28T08:43:55,"(52.52617758710695, 13.367541854838704)","(52.5261654418135, 13.3675441316151)",1.3592519539407761
2022-12-28T08:43:56,"(52.52604956897523, 13.36754867409676)","(52.5260321178454, 13.36755019899)",1.9432199918713804
2022-12-28T08:43:58,"(52.52579201044778, 13.367586777686826)","(52.5257684878546, 13.3676012665805)",2.793229478679825
2022-12-28T08:43:59,"(52.52566562840002, 13.367620773537633)","(52.5256394774751, 13.3676358235395)",3.0809518633578343
2022-12-28T08:44:01,"(52.52541277144312, 13.36767885430342)","(52.5253759527153, 13.3676642982856)",4.21082696902651
2022-12-28T08:44:02,"(52.52528680668122, 13.367690315444175)","(52.5252456083986, 13.3676700189862)",4.782405108939445
2022-12-28T08:44:03,"(52.52516331252754, 13.367691390898711)","(52.5251184983431, 13.3676745091953)",5.112320805142328
2022-12-28T08:44:05,"(52.524910560572025, 13.36769392566628)","(52.5248742327304, 13.367683519171)",4.10037008855927
2022-12-28T08:44:06,"(52.52479510167564, 13.367693303149544)","(52.5247550996403, 13.3676924743973)",4.448382883080464
2022-12-28T08:44:10,"(52.52434349526666, 13.367769792333144)","(52.5242904383115, 13.3678083537971)",6.45074661860496
2022-12-28T08:44:11,"(52.52423304117603, 13.367826444498494)","(52.5241820292978, 13.3678722848055)",6.464718373445942
2022-12-28T08:44:13,"(52.524024831702185, 13.36798975849884)","(52.5239819078218, 13.3680473363849)",6.160753831597104
2022-12-28T08:44:15,"(52.523857733411695, 13.368249913401884)","(52.5238080481601, 13.3682673789382)",5.649704213762183
2022-12-28T08:47:00,"(52.50738451217184, 13.369341798855508)","(52.5066489168717, 13.3723598599365)",220.03193489350724
2022-12-28T08:47:03,"(52.506361190220325, 13.37219417869613)","(52.5062888612799, 13.3722586216111)",9.149168794820055
2022-12-28T08:47:06,"(52.50610054670812, 13.372387476038716)","(52.505821807752, 13.3721420389461)",35.16534304074413
2022-12-28T08:47:08,"(52.505799068824096, 13.372282957970128)","(52.5055251850514, 13.3720574259359)",34.06590427030069
2022-12-28T08:47:10,"(52.50554263961023, 13.37208851285794)","(52.5052656586301, 13.3720133388631)",31.21636333964316
2022-12-28T08:47:11,"(52.50534584108228, 13.372066621174527)","(52.5052171636419, 13.3719376396629)",16.761208312055583
2022-12-28T08:47:12,"(52.505313277365445, 13.372091752566366)","(52.505229350221, 13.371854161062)",18.592694905922354
2022-12-28T08:47:13,"(52.505261987590245, 13.372056823349627)","(52.5052397201508, 13.3717874567712)",18.398956003846617
2022-12-28T08:47:15,"(52.50519947416516, 13.37188713679319)","(52.5052725872043, 13.3716871775145)",15.787966996949027
2022-12-28T08:47:17,"(52.50525649926542, 13.371744346407011)","(52.5053128857361, 13.3715642243933)",13.709031607993845
2022-12-28T08:47:18,"(52.50530164826322, 13.371656214593392)","(52.5053461280729, 13.3714803313262)",12.890893736161601
2022-12-28T08:47:20,"(52.50540741474516, 13.371398942524731)","(52.5054318810336, 13.3712723628462)",8.988861874805853
2022-12-28T08:47:22,"(52.50551729488994, 13.371115312995142)","(52.5055238506437, 13.3710293016414)",5.866950360145093
2022-12-28T08:47:24,"(52.505625617577785, 13.370815638939456)","(52.5056241252651, 13.3707736593887)",2.8461272337854715
2022-12-28T08:47:25,"(52.505675747559714, 13.370681126013226)","(52.5056719515038, 13.3706472254553)",2.3329788229463455
2022-12-28T08:47:27,"(52.50577075119831, 13.37039653312102)","(52.5057515012407, 13.3703989111999)",2.1465434916506663
2022-12-28T08:47:29,"(52.505865654272974, 13.370115032982596)","(52.5058336265009, 13.3701513170621)",4.325965213303415
2022-12-28T08:47:31,"(52.50596073726658, 13.369832091279138)","(52.5059145864632, 13.3698951938106)",6.676487468173218
2022-12-28T08:47:32,"(52.50600241342318, 13.36967216278184)","(52.5059566769423, 13.3697694655996)",8.320752462458223
2022-12-28T08:47:34,"(52.50609575899301, 13.369387968639217)","(52.5060782471667, 13.3695315953333)",9.914037662072927
2022-12-28T08:47:36,"(52.50617735314114, 13.369111465975031)","(52.506163999, 13.3692649656667)",10.494714206554528
2022-12-28T08:47:37,"(52.5062095767566, 13.36897737703657)","(52.5062045938333, 13.3691376798333)",10.863707638533832
2022-12-28T08:47:39,"(52.50636087850681, 13.368829908067069)","(52.5062945861667, 13.3689151975)",9.362652176111482
2022-12-28T08:47:41,"(52.50650905596661, 13.368761761920572)","(52.5064267236667, 13.3687839666667)",9.277477914769253
2022-12-28T08:47:42,"(52.50658864803359, 13.368768901809416)","(52.5065040955, 13.3687613536667)",9.415695034914757
2022-12-28T08:47:44,"(52.50675762721374, 13.368837126442036)","(52.5066663376667, 13.3687899471667)",10.64132906908015
2022-12-28T08:47:46,"(52.50692594617567, 13.368942980370422)","(52.5068262126667, 13.3688895046667)",11.665524949228015
2022-12-28T08:47:48,"(52.5070831190926, 13.369030877200188)","(52.5069875148333, 13.3689848628333)",11.077498467641531
2022-12-28T08:47:50,"(52.50724215030969, 13.369115368853643)","(52.5071528261667, 13.3690701035)",10.39413884089822
2022-12-28T08:47:52,"(52.50740149011229, 13.369197817061506)","(52.507311999, 13.3691479625)",10.507461550207024
2022-12-28T08:47:54,"(52.507561611776936, 13.369286167821846)","(52.5074628251667, 13.369231868)",11.58303524001984
2022-12-28T08:47:56,"(52.50772205358362, 13.369379915405316)","(52.5076186698333, 13.3693219315)",12.147134833080031
2022-12-28T08:47:58,"(52.50788033941348, 13.369466538761584)","(52.507779874, 13.3694135353333)",11.733084306639842
2022-12-28T08:48:00,"(52.50804609235915, 13.369562292728332)","(52.5079485105, 13.369508665)",11.441549598304148
2022-12-28T08:48:01,"(52.50813368020936, 13.369613117996732)","(52.5080328055, 13.3695541313333)",11.906015668429948
2022-12-28T08:48:03,"(52.50829079305969, 13.36970209868086)","(52.5081993123333, 13.3696452505)",10.87549117627776
2022-12-28T08:48:04,"(52.5083669650362, 13.36974757953084)","(52.5082784523333, 13.369693354)",10.504123930586701
2022-12-28T08:48:06,"(52.50847224064815, 13.369857045556136)","(52.5084082565, 13.3698034083333)",7.9872849244950475
2022-12-28T08:48:09,"(52.50852229913703, 13.36994472507986)","(52.508496443, 13.3699234885)",3.2143045262195153
2022-12-28T08:48:16,"(52.5085321100683, 13.369988287297994)","(52.5085081686667, 13.3699415181667)",4.135931205893968
2022-12-28T08:48:22,"(52.508562059472816, 13.37004223152118)","(52.5085146888333, 13.3699574991667)",7.78653427634316
2022-12-28T08:48:24,"(52.508636247663794, 13.37018313861752)","(52.5085684116667, 13.370060263)",11.227324178216515
2022-12-28T08:48:26,"(52.50875792155355, 13.370423351379472)","(52.508667758, 13.3702604295)",14.90277534014787
2022-12-28T08:48:27,"(52.508825997917725, 13.370557413122196)","(52.508732852, 13.3703928688333)",15.208067192617328
2022-12-28T08:48:29,"(52.50895575922917, 13.370809258039474)","(52.5088630451667, 13.3706550525)",14.669630240742222
2022-12-28T08:48:31,"(52.50902932275132, 13.371030721415938)","(52.5089808385, 13.370874959)",11.840203254795345
2022-12-28T08:48:33,"(52.50903812709991, 13.371181609343251)","(52.5090550001667, 13.3710606286667)",8.399866978712927
2022-12-28T08:48:35,"(52.50904143308778, 13.371232699528242)","(52.5090731868333, 13.3711631915)",5.881810785069963
2022-12-28T08:48:50,"(52.50904862950882, 13.371325468553149)","(52.5090788846667, 13.3712378356667)",6.818497549355713
2022-12-28T08:48:52,"(52.50906275050144, 13.371504487495674)","(52.5090877983333, 13.3713732081667)",9.310960181648877
2022-12-28T08:48:54,"(52.50907891444475, 13.371696997936825)","(52.5091013143333, 13.3715626911667)",9.424605449028755
2022-12-28T08:48:56,"(52.50922130447011, 13.37181200850081)","(52.5091639118333, 13.3717306571667)",8.428463577072517
2022-12-28T08:48:58,"(52.50937186569716, 13.37179499317434)","(52.5092902113333, 13.3718219083333)",9.260478546950862
2022-12-28T08:48:59,"(52.509461945229454, 13.371770238143393)","(52.5093689608333, 13.3718122675)",10.723526550381385
2022-12-28T08:49:00,"(52.50956550491879, 13.371744598595322)","(52.5094576953333, 13.3717885513333)",12.351426006804166
2022-12-28T08:49:02,"(52.5097838378884, 13.371693171705166)","(52.509654908, 13.371731791)",14.572661003633165
2022-12-28T08:49:03,"(52.50989637442315, 13.371667106024852)","(52.5097574981667, 13.3717035385)",15.637953945826462
2022-12-28T08:49:05,"(52.510141240234624, 13.371624823317486)","(52.5099720506667, 13.3716489246667)",18.88362185300446
2022-12-28T08:49:07,"(52.51041267093519, 13.371594343486857)","(52.510200794, 13.3715730775)",23.603589435706336
2022-12-28T08:49:08,"(52.51054602145577, 13.371569996796168)","(52.510320598, 13.371530951)",25.2048758230087
2022-12-28T08:49:10,"(52.5108059830882, 13.371490488609028)","(52.5105740153333, 13.3714551866667)",25.90407582727017
2022-12-28T08:49:12,"(52.51105219405858, 13.37139887354278)","(52.5108200545, 13.3713808521667)",25.84157192292078
2022-12-28T08:49:14,"(52.511262261445694, 13.371275050376202)","(52.5110456991667, 13.3712924771667)",24.10952164499147
2022-12-28T08:49:15,"(52.51136499483256, 13.371218947910451)","(52.5111537301667, 13.3712475756667)",23.571342911110793
2022-12-28T08:49:17,"(52.51156683315863, 13.37111313047665)","(52.5113660621667, 13.3711543545)",22.49838160996218
2022-12-28T08:49:19,"(52.5117678701626, 13.371011987756198)","(52.5115759245, 13.3710623296667)",21.61359763934874
2022-12-28T08:49:21,"(52.511974799290186, 13.370907019674297)","(52.511796494, 13.370974044)",20.33887364584604
2022-12-28T08:49:23,"(52.51218998353963, 13.37081128718383)","(52.5120270086667, 13.3708873011667)",18.837952356001313
2022-12-28T08:49:24,"(52.51229610213081, 13.370766619885844)","(52.512138887, 13.3708425706667)",18.221467016682077
2022-12-28T08:49:26,"(52.512499465730144, 13.37067658910676)","(52.5123575529758, 13.3707453311285)",16.451406001428516
2022-12-28T08:49:28,"(52.51270872977966, 13.370586558323565)","(52.5125866734253, 13.3706533372941)",14.304643319305105
2022-12-28T08:49:29,"(52.51281331824272, 13.37055411167927)","(52.5127010212813, 13.3706104853907)",13.056622207734229
2022-12-28T08:49:31,"(52.5130203013558, 13.370469839006738)","(52.5129279705227, 13.3705254360744)",10.934392079584692
2022-12-28T08:49:33,"(52.51322448412393, 13.370382873263877)","(52.5131610783705, 13.3704380788179)",7.9790067610072475
2022-12-28T08:49:34,"(52.513329804445455, 13.37033520279668)","(52.5132804817988, 13.3703933323368)",6.7492820630057295
2022-12-28T08:49:37,"(52.51356145850364, 13.37024600283641)","(52.5136579272894, 13.3702519577012)",10.734420694287742
2022-12-28T08:49:41,"(52.51399063519076, 13.370092891702006)","(52.5141907202512, 13.3700711166913)",22.29721575014364
2022-12-28T08:49:42,"(52.51410122572062, 13.370065538084964)","(52.5143228082245, 13.3700438416705)",24.68258862452459
2022-12-28T08:49:43,"(52.51421219713132, 13.370039860983264)","(52.514453922608, 13.3700197848298)",26.912994355031362
2022-12-28T08:49:45,"(52.51443438572203, 13.369995260994882)","(52.5147180567881, 13.3699884360265)",31.546207792082644
2022-12-28T08:51:34,"(52.52697139658718, 13.367743981205804)","(52.52699206531, 13.3677301540501)",2.481326193064107
2022-12-28T08:51:36,"(52.52724548532941, 13.367747276181486)","(52.5272746794586, 13.3677541104233)",3.279001015547735
2022-12-28T08:51:39,"(52.52747429673177, 13.367789600957954)","(52.5276760796903, 13.3678468924385)",22.769546359297
2022-12-28T08:51:40,"(52.52758445714949, 13.367803102648235)","(52.5278043479658, 13.3678965011241)",25.253933158391145
2022-12-28T08:51:41,"(52.5278395078872, 13.367897684386664)","(52.5279358292489, 13.3679604485465)",11.521352931201886
2022-12-28T08:51:42,"(52.52796363551661, 13.367970247488612)","(52.5280487100846, 13.3680621992376)",11.321755675161976
2022-12-28T08:51:44,"(52.52818786220312, 13.36815972475046)","(52.5282518202938, 13.3682739514329)",10.50178349003994
2022-12-28T08:51:46,"(52.52838488118007, 13.368403751054707)","(52.5284351854494, 13.3684931545579)",8.238059501974607
2022-12-28T08:51:47,"(52.52847161035153, 13.368539823039114)","(52.5285002510646, 13.3686153158388)",6.018529993424523
2022-12-28T08:51:48,"(52.52855472406081, 13.368683369596535)","(52.5285560969574, 13.3687397511277)",3.8171123395017568
2022-12-28T08:51:50,"(52.5286628326436, 13.368958610698831)","(52.5286524766016, 13.3689623627157)",1.1791809215750084
2022-12-28T08:51:51,"(52.52869694736768, 13.369069568253272)","(52.5286855365216, 13.3690503455835)",1.816826798873694
2022-12-28T08:51:53,"(52.52874681363708, 13.369216954447248)","(52.5287335115097, 13.369178022149)",3.020589578444425
2022-12-28T08:51:55,"(52.52876252345015, 13.36926270614371)","(52.5287577893214, 13.3692426330585)",1.4563507802619637
2022-12-28T08:52:13,"(52.52879103268985, 13.369339302568733)","(52.5287890710459, 13.3693258835876)",0.9335920494070603
2022-12-28T08:52:15,"(52.528826729533016, 13.369471913069477)","(52.528829943866, 13.3694266374459)",3.083539221162054
2022-12-28T08:52:17,"(52.52888846436541, 13.369546318674098)","(52.5288701022954, 13.3695229031296)",2.58415289698353
2022-12-28T08:52:19,"(52.52899376285586, 13.369519793956089)","(52.5289410396231, 13.3695473212147)",6.151193042591981
2022-12-28T08:52:21,"(52.52913055206231, 13.369429045694336)","(52.5290702442943, 13.3694569977011)",6.96740902555086
2022-12-28T08:52:22,"(52.52921544861043, 13.369380810651)","(52.529148714147, 13.3694021415358)",7.559536764024267
2022-12-28T08:52:24,"(52.52940429467672, 13.369282618546476)","(52.529336592, 13.3693703823333)",9.587508906779924
2022-12-28T08:52:26,"(52.529583736324845, 13.369169435938828)","(52.5295132538333, 13.3692469995)",9.43147777923155
2022-12-28T08:52:27,"(52.529676320294406, 13.369114032010527)","(52.5296013771667, 13.3691854646667)",9.632926209233093
2022-12-28T08:52:29,"(52.52984835182173, 13.368998392181169)","(52.5297738043333, 13.3690661345)",9.471621346129794
2022-12-28T08:52:31,"(52.53001569099205, 13.36888024714721)","(52.5299414515, 13.3689383263333)",9.142285035379569
2022-12-28T08:52:33,"(52.53018177259309, 13.368742162036932)","(52.5301035353333, 13.3687837865)",9.143908931006356
2022-12-28T08:52:35,"(52.53034731857007, 13.368596562101748)","(52.5302638056667, 13.3686243986667)",9.475210836204147
2022-12-28T08:52:37,"(52.530512703994894, 13.368401051492205)","(52.530419113, 13.3684866591667)",11.909531685575963
2022-12-28T08:52:39,"(52.530680687011646, 13.368213703702136)","(52.530582666, 13.3683391885)",13.814827275960788
2022-12-28T08:52:40,"(52.53076051244134, 13.368128075843243)","(52.5306651458333, 13.368263839)",14.028146823920729
2022-12-28T08:52:42,"(52.53091912012145, 13.367961372517462)","(52.5308290335, 13.3680967196667)",13.570746872780353
